id	nev	nem	szuletett	elhunyt	identitas
3080	Hunger, Herbert	f	1914	2000	osztrák
3081	Ghil, Michael	f	1944		amerikai
3082	Schmoller, Gustav von	f	1838	1917	német
3083	Munkácsi Bernát	f	1860	1937	
3084	Molnár Kálmán	f	1881	1961	
3085	Szabolcsi Gertrúd	f	1923	1993	
3086	Padisák Judit	n	1955		
3087	Pongor Sándor	f	1949		olaszországi magyar
3088	Felsőbüki Nagy Pál	f	1777	1857	
3089	Norton, Roy A.	f	1947		amerikai
3090	Sós Vera, T.	n	1930		
3091	Fessler Ignác Aurél	f	1756	1839	oroszországi magyar
3092	Kostrowicki, Jerzy Samuel	f	1918	2002	lengyel
3093	Vékás Lajos	f	1939		
3094	Schütz Antal	f	1880	1953	
3095	Polónyi János	f	1953		franciaországi magyar
3096	Monroe, Paul	f	1869	1947	amerikai
3097	Konkoly-Thege Miklós	f	1842	1916	
3098	Molnár Erik	f	1894	1966	
3099	Perrier, Edmond	f	1844	1921	francia
3100	Csiszár Imre	f	1938		
3101	Bognár Rezső	f	1913	1990	
3102	Lázár Kálmán	f	1827	1874	
3103	Zalai Ernő	f	1943		
3104	Papp Károly	f	1873	1963	
3105	Eckhart Ferenc	f	1885	1957	
3106	Strutt, John William	f	1842	1919	angol
3107	Seitelberger, Franz	f	1916	2007	osztrák
3108	Sándor Mátyás	f	1951		amerikai-magyar
3109	Szabó Gyöngyi	f	1959		amerikai-magyar
3110	Navratil Ákos	f	1875	1952	
3111	Kagan, Jurij Mojszejevics	f	1928	2019	orosz
3112	Szűcs István	f	1811	1891	
3113	Császár Ferenc	f	1807	1858	
3114	Lengyel Péter	f	1929		amerikai-magyar
3115	Manninger Rezső	f	1890	1970	
3116	Kerékjártó Béla	f	1898	1946	
3117	Tárczy-Hornoch Antal	f	1900	1986	
3118	Szögyény-Marich László, ifj.	f	1840	1916	
3119	Pólos László	f	1955		nagy-britanniai magyar
3120	Demcsenko, Olekszandr Petrovics	f	1944		ukrán
3121	Stäckel, Paul	f	1862	1919	német
3122	Halpern, Bernard	f	1904	1978	francia
3123	Franzenau Ágoston	f	1856	1919	
3124	Körner János	f	1946		olaszországi magyar
3125	Heisenberg, August	f	1869	1930	német
3126	Chyzer Kornél	f	1836	1909	
3127	Pyrker János László / Pyrker, Johann Ladislaus	f	1772	1847	
3128	Belák Sándor	f	1946		svédországi magyar
3129	Pecht, Israel	f	1937		izraeli
3130	Gerő Ernő	f	1898	1980	
3131	Pauer Imre Rudolf	f	1845	1930	
3132	Hajdú János	f	1948		svédországi magyar
3133	Nyikonov, Alekszandr Alekszandrovics	f	1918	1995	orosz
3134	Peregriny Elek	f	1812	1886	
3135	Cholnoky László	f	1899	1967	
3136	Scacchi, Arcangelo	f	1810	1893	olasz
3137	Nagy János	f	1809	1885	
3138	Tóbiás Károly / Tobias, Charles William	f	1920	1996	amerikai-magyar
3139	Illésházy István	f	1762	1838	
3140	Honkasalo, Brynolf	f	1889	1938	finn
3141	Álón, Nógá	f	1956		izraeli
3142	Teleki László	f	1811	1861	
3143	Palotás László	f	1905	1993	
3144	Grősz József	f	1887	1961	
3145	Grätzer György	f	1936		kanadai magyar
3146	Szmrecsányi Lajos	f	1851	1943	
3147	Osztrovszki György	f	1914	1988	
3148	Kaczorek, Tadeusz	f	1932		lengyel
3149	Bíró Péter	f	1943		
3150	Kátai Imre	f	1938		
3151	Botka Tivadar	f	1802	1885	
3152	Balas Egon	f	1922	2019	amerikai-magyar
3153	Tora László	f	1957		franciaországi magyar
3154	Ádám György	f	1922	2013	
3155	Neÿ Ferenc	f	1814	1889	
3156	Kürti Miklós / Kurti, Nicholas	f	1908	1998	nagy-britanniai magyar
3157	Tallián Tibor	f	1946		
3158	Novobátzky Károly	f	1884	1967	
3159	Gáspár Rezső	f	1921	2001	
3160	Mailáth József	f	1858	1940	
3161	Bajza József	f	1804	1858	
3162	Grosschmid Béni	f	1852	1938	
3163	Hőgyes Endre	f	1847	1906	
3164	Pintz János	f	1950		
3165	Ruzsa Z. Imre	f	1953		
3166	Négyesy László	f	1861	1933	
3167	Apponyi Sándor	f	1844	1925	
3168	Forster Gyula	f	1846	1932	
3169	Popovics Sándor	f	1862	1935	
3170	Demidov, Anatolij Nyikolajevics	f	1812	1870	orosz
3171	Sebestyén Gyula	f	1921	2011	nagy-britanniai magyar
3172	Szádeczky-Kardoss Elemér	f	1903	1984	
3173	Plaschka, Richard Georg	f	1925	2001	osztrák
3174	Harwood, John L.	f	1946		angol
3175	Butler, Nicholas Murray	f	1862	1947	amerikai
3176	Massey, James Lee	f	1934	2013	amerikai
3177	Terplán Zénó	f	1921	2002	
3178	Cselőtei László	f	1925	2012	
3179	Szabó Dénes	f	1929	2018	kanadai magyar
3180	Szilasy János	f	1795	1859	
3181	Imre László	f	1944		
3182	Horváth Zalán	f	1943	2011	
3183	Entz Géza, id.	f	1842	1919	
3184	Erdő Péter	f	1952		
3185	Dethier, Philipp Anton	f	1803	1881	francia
3186	Székely Tamás	f	1959		nagy-britanniai magyar
3187	Berend T. Iván	f	1930		
3188	Kiss Sándor Károly / Kiss, Alexandre Charles	f	1925	2007	franciaországi magyar
3189	Révai József	f	1898	1959	
3190	Du Bois-Reymond, Emil Heinrich	f	1818	1896	német
3191	Kruspér István	f	1818	1905	
3192	Faragó József	f	1922	2004	romániai magyar
3193	Babai László	f	1950		
3194	Vandrák András	f	1807	1884	
3195	Haas János	f	1947		
3196	Barabás Miklós	f	1810	1898	
3197	Bártfay László	f	1797	1858	
3198	Tunyogi Csapó József	f	1790	1865	
3199	Peschka Vilmos	f	1929	2006	
3200	Beer Tamás / Beer, Tom	f	1947		ausztráliai magyar
3201	Tarnai Andor	f	1925	1994	
3202	Eddington, Arthur Stanley	f	1882	1944	angol
3203	Sickel, Theodor von	f	1826	1908	osztrák
3204	Mascie-Taylor, Nicholas	f	1949		walesi
3205	Eser, Albin	f	1935		német
3206	Balázs Sándor	f	1925	2016	
3207	Andorka Rudolf	f	1931	1997	
3208	Bánki Donát	f	1859	1922	
3209	Ilosvay Lajos	f	1851	1936	
3210	Meyer, Eduard	f	1855	1930	német
3211	Guzmics Izidor	f	1786	1839	
3212	Batizfalvy Sámuel	f	1826	1904	
3213	Pauler Tivadar	f	1816	1886	
3214	Heckel, Johann Jakob	f	1790	1857	osztrák
3215	Csáki Csaba	f	1940		
3216	Komornik Vilmos	f	1954		franciaországi magyar
3217	Fáj Attila	f	1922	2013	olaszországi magyar
3218	Ahlqvist, August	f	1826	1889	finn
3219	Petersen, Julius	f	1878	1941	német
3220	Daday Jenő	f	1855	1920	
3221	Borchard, Edwin	f	1884	1951	amerikai
3222	Raumer, Friedrich Ludwig Georg von	f	1781	1873	német
3223	Csűry Bálint	f	1886	1941	
3224	Geszti Pál Ottó	f	1922	1985	
3225	Mazur, Stanisław	f	1905	1981	lengyel
3226	Entz Géza, ifj.	f	1875	1943	
3227	Zsavoronkov, Nyikolaj Mihajlovics	f	1907	1990	orosz
3228	Johnson, Stanley R.	f	1938		amerikai
3229	Hetényi Géza	f	1894	1959	
3230	Nizsalovszky Endre	f	1894	1976	
